ID,DEPTH,TIMESTAMP,I/O TYPE,SEMANTIC ROLLING COS,SEMANTIC TRAINING COS,CONCEPT ROLLING COS,CONCEPT TRAINING COS,LEXICAL ROLLING COS,LEXICAL TRAINING COS
890de85b-ab46-4dcc-ada2-8197f094aac0,0,2025-04-02T15:52:27.920Z,input,1,NaN,1,NaN,1,NaN
890de85b-ab46-4dcc-ada2-8197f094aac0,0,2025-04-02T15:52:27.920Z,output,1,NaN,1,NaN,1,NaN
4b1c6d0b-1c37-4a1f-9d22-62d65c80e180,0,2025-04-02T15:55:17.931Z,input,1,NaN,1,NaN,1,NaN
4b1c6d0b-1c37-4a1f-9d22-62d65c80e180,0,2025-04-02T15:55:17.931Z,output,1,NaN,1,NaN,1,NaN
e3d89315-056a-4340-b61a-1b13950aef9e,0,2025-04-02T16:04:30.014Z,input,1,NaN,1,NaN,1,NaN
e3d89315-056a-4340-b61a-1b13950aef9e,0,2025-04-02T16:04:30.014Z,output,1,NaN,1,NaN,1,NaN
f146077a-f889-4262-9f4d-6a8a5746dd61,0,2025-04-02T16:05:33.174Z,input,1,NaN,1,NaN,1,NaN
f146077a-f889-4262-9f4d-6a8a5746dd61,0,2025-04-02T16:05:33.174Z,output,1,NaN,1,NaN,1,NaN
8ec564f9-4495-409e-80cb-dfaf9c7dae80,0,2025-04-02T16:10:01.031Z,input,1,NaN,1,NaN,1,NaN
8ec564f9-4495-409e-80cb-dfaf9c7dae80,0,2025-04-02T16:10:01.031Z,output,1,NaN,1,NaN,1,NaN
3b17bc2e-a88b-4af2-a800-463c55b9c767,0,2025-04-02T16:10:51.045Z,input,1,NaN,1,NaN,1,NaN
3b17bc2e-a88b-4af2-a800-463c55b9c767,0,2025-04-02T16:10:51.045Z,output,1,NaN,1,NaN,1,NaN
24de12f3-d171-4124-8a12-0ece839fbd3e,0,2025-04-02T16:24:08.814Z,input,1,NaN,1,NaN,1,NaN
24de12f3-d171-4124-8a12-0ece839fbd3e,0,2025-04-02T16:24:08.814Z,output,1,NaN,1,NaN,1,NaN
2ce2ac58-5e76-4041-92cf-72dcb0021535,0,2025-04-02T16:24:30.733Z,input,1,NaN,1,NaN,1,NaN
2ce2ac58-5e76-4041-92cf-72dcb0021535,0,2025-04-02T16:24:30.733Z,output,1,NaN,1,NaN,1,NaN
a4db65c1-f3fb-4132-8b85-5e987a6256e6,0,2025-04-02T16:45:07.858Z,input,1,NaN,1,NaN,1,NaN
a4db65c1-f3fb-4132-8b85-5e987a6256e6,0,2025-04-02T16:45:07.858Z,output,1,NaN,1,NaN,1,NaN
c6fb72b0-5b47-4ce4-bd1f-d52364736ab7,0,2025-04-02T16:45:45.832Z,input,1,NaN,1,NaN,1,NaN
c6fb72b0-5b47-4ce4-bd1f-d52364736ab7,0,2025-04-02T16:45:45.832Z,output,1,NaN,1,NaN,1,NaN
1c35813a-94df-457d-8ba7-350ab5246a1d,0,2025-04-02T16:46:51.499Z,input,1,NaN,1,NaN,1,NaN
1c35813a-94df-457d-8ba7-350ab5246a1d,0,2025-04-02T16:46:51.499Z,output,1,NaN,1,NaN,1,NaN
b93bae23-ff99-4667-aefb-d713119514ae,0,2025-04-02T16:47:18.105Z,input,1,NaN,1,NaN,1,NaN
b93bae23-ff99-4667-aefb-d713119514ae,0,2025-04-02T16:47:18.105Z,output,1,NaN,1,NaN,1,NaN
a97ff91b-1d0a-4beb-8706-33c983b3c5df,0,2025-04-02T16:47:37.976Z,input,1,NaN,1,NaN,1,NaN
a97ff91b-1d0a-4beb-8706-33c983b3c5df,0,2025-04-02T16:47:37.976Z,output,1,NaN,1,NaN,1,NaN
56714bbd-2774-4f3c-866f-592f66103c30,0,2025-04-02T16:47:53.896Z,input,1,NaN,1,NaN,1,NaN
56714bbd-2774-4f3c-866f-592f66103c30,0,2025-04-02T16:47:53.896Z,output,1,NaN,1,NaN,1,NaN
466e6ce0-6e26-49b5-9079-95eed7021192,0,2025-04-02T16:49:31.831Z,input,1,NaN,1,NaN,1,NaN
466e6ce0-6e26-49b5-9079-95eed7021192,0,2025-04-02T16:49:31.831Z,output,1,NaN,1,NaN,1,NaN
9f8409c5-d886-4aef-ade1-690c3330c780,0,2025-04-02T16:50:04.916Z,input,1,NaN,1,NaN,1,NaN
9f8409c5-d886-4aef-ade1-690c3330c780,0,2025-04-02T16:50:04.916Z,output,1,NaN,1,NaN,1,NaN
89174c39-d3a6-4c24-9bbe-045a36bbe4c8,0,2025-04-02T20:27:05.679Z,input,1,NaN,1,NaN,1,NaN
89174c39-d3a6-4c24-9bbe-045a36bbe4c8,0,2025-04-02T20:27:05.679Z,output,1,NaN,1,NaN,1,NaN
69ad6f29-9dc5-49dd-93f3-43e6e2e617b6,0,2025-04-02T23:45:06.893Z,input,1,NaN,1,NaN,1,NaN
69ad6f29-9dc5-49dd-93f3-43e6e2e617b6,0,2025-04-02T23:45:06.893Z,output,1,NaN,1,NaN,1,NaN
7a9f01d3-c8c7-4935-b520-c61e035a2a65,0,2025-04-02T23:45:33.114Z,input,1,NaN,1,NaN,1,NaN
7a9f01d3-c8c7-4935-b520-c61e035a2a65,0,2025-04-02T23:45:33.114Z,output,1,NaN,1,NaN,1,NaN
127047ea-d0bf-4636-b1c7-7b4c33fc3888,0,2025-04-02T23:46:35.462Z,input,1,NaN,1,NaN,1,NaN
127047ea-d0bf-4636-b1c7-7b4c33fc3888,0,2025-04-02T23:46:35.462Z,output,1,NaN,1,NaN,1,NaN
5c699c39-3437-40c9-9e8d-97fe1cbeb4a2,0,2025-04-02T23:47:25.268Z,input,1,NaN,1,NaN,1,NaN
5c699c39-3437-40c9-9e8d-97fe1cbeb4a2,0,2025-04-02T23:47:25.268Z,output,1,NaN,1,NaN,1,NaN
eeee7c1e-589d-49c5-8c4c-e1aaca7f26b3,0,2025-04-02T23:49:07.552Z,input,1,NaN,1,NaN,1,NaN
eeee7c1e-589d-49c5-8c4c-e1aaca7f26b3,0,2025-04-02T23:49:07.552Z,output,1,NaN,1,NaN,1,NaN
37a0f565-d4e4-4295-bbfc-0e3d0e15b3c6,0,2025-04-02T23:49:26.291Z,input,1,NaN,1,NaN,1,NaN
37a0f565-d4e4-4295-bbfc-0e3d0e15b3c6,0,2025-04-02T23:49:26.291Z,output,1,NaN,1,NaN,1,NaN
1fd80b4d-5e5f-4aa8-b9dd-a826fe5f00eb,0,2025-04-02T23:49:42.006Z,input,1,NaN,1,NaN,1,NaN
1fd80b4d-5e5f-4aa8-b9dd-a826fe5f00eb,0,2025-04-02T23:49:42.006Z,output,1,NaN,1,NaN,1,NaN
dea4efe4-4a5e-4f25-b469-0ff6f7db99d9,0,2025-04-02T23:50:08.044Z,input,1,NaN,1,NaN,1,NaN
dea4efe4-4a5e-4f25-b469-0ff6f7db99d9,0,2025-04-02T23:50:08.044Z,output,1,NaN,1,NaN,1,NaN
08769675-ad87-4cb3-963c-f3a5dc54ff46,0,2025-04-02T23:50:40.547Z,input,1,NaN,1,NaN,1,NaN
08769675-ad87-4cb3-963c-f3a5dc54ff46,0,2025-04-02T23:50:40.547Z,output,1,NaN,1,NaN,1,NaN
b368e6f2-f659-4eb5-8b06-99de6dd35e1c,0,2025-04-02T23:56:18.756Z,input,1,NaN,1,NaN,1,NaN
b368e6f2-f659-4eb5-8b06-99de6dd35e1c,0,2025-04-02T23:56:18.756Z,output,1,NaN,1,NaN,1,NaN
